"TIME","GEO","INDIC_IL","AGE","SEX","Value","Flag and Footnotes"
"2017","Norway","Inequality of income distribution (income quintile share ratio)","Total","Total","3.9",""
"2017","Poland","Inequality of income distribution (income quintile share ratio)","Total","Total","4.6",""
"2017","Portugal","Inequality of income distribution (income quintile share ratio)","Total","Total","5.7",""
"2017","Romania","Inequality of income distribution (income quintile share ratio)","Total","Total","6.5",""
"2017","Serbia","Inequality of income distribution (income quintile share ratio)","Total","Total","9.4",""
"2017","Sweden","Inequality of income distribution (income quintile share ratio)","Total","Total","4.3",""
"2017","Slovenia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.4",""
"2017","Slovakia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.5",""
"2017","Turkey","Inequality of income distribution (income quintile share ratio)","Total","Total","8.7",""
"2017","United Kingdom","Inequality of income distribution (income quintile share ratio)","Total","Total","5.4","b"
"2018","Austria","Inequality of income distribution (income quintile share ratio)","Total","Total","4.0",""
"2018","Belgium","Inequality of income distribution (income quintile share ratio)","Total","Total","3.78",""
"2018","Bulgaria","Inequality of income distribution (income quintile share ratio)","Total","Total","7.66",""
"2018","Switzerland","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Cyprus","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Czechia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.3",""
"2018","Germany (until 1990 former territory of the FRG)","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Denmark","Inequality of income distribution (income quintile share ratio)","Total","Total","4.11","p"
"2018","Estonia","Inequality of income distribution (income quintile share ratio)","Total","Total","5.07",""
"2018","Greece","Inequality of income distribution (income quintile share ratio)","Total","Total","5.51",""
"2018","Spain","Inequality of income distribution (income quintile share ratio)","Total","Total","6.03",""
"2018","European Union - 28 countries","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Finland","Inequality of income distribution (income quintile share ratio)","Total","Total","3.6",""
"2018","France","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Croatia","Inequality of income distribution (income quintile share ratio)","Total","Total","5.00","p"
"2018","Hungary","Inequality of income distribution (income quintile share ratio)","Total","Total","4.4",""
"2018","Ireland","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Iceland","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Italy","Inequality of income distribution (income quintile share ratio)","Total","Total","6.09",""
"2018","Lithuania","Inequality of income distribution (income quintile share ratio)","Total","Total","7.09",""
"2018","Luxembourg","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Latvia","Inequality of income distribution (income quintile share ratio)","Total","Total","6.8",""
"2018","North Macedonia","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Malta","Inequality of income distribution (income quintile share ratio)","Total","Total","4.28",""
"2018","Netherlands","Inequality of income distribution (income quintile share ratio)","Total","Total","3.99","p"
"2018","Norway","Inequality of income distribution (income quintile share ratio)","Total","Total","3.71",""
"2018","Poland","Inequality of income distribution (income quintile share ratio)","Total","Total","4.25",""
"2018","Portugal","Inequality of income distribution (income quintile share ratio)","Total","Total","5.22",""
"2018","Romania","Inequality of income distribution (income quintile share ratio)","Total","Total","7.2",""
"2018","Serbia","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Sweden","Inequality of income distribution (income quintile share ratio)","Total","Total","4.13",""
"2018","Slovenia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.4",""
"2018","Slovakia","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","Turkey","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2018","United Kingdom","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
