"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"From 1 to 149 minutes","Lithuania","Percentage","Fourth quintile","2014","Total","Total","17.0",""
"From 150 to 299 minutes","Lithuania","Percentage","Fourth quintile","2014","Total","Total","11.0",""
"300 minutes or over","Lithuania","Percentage","Fourth quintile","2014","Total","Total","8.0",""
"Zero minutes","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","31.6",""
"From 1 to 149 minutes","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","25.4",""
"From 150 to 299 minutes","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","23.8",""
"300 minutes or over","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","19.3",""
"Zero minutes","Hungary","Percentage","Fourth quintile","2014","Total","Total","41.6",""
"From 1 to 149 minutes","Hungary","Percentage","Fourth quintile","2014","Total","Total","27.4",""
"From 150 to 299 minutes","Hungary","Percentage","Fourth quintile","2014","Total","Total","12.5",""
"300 minutes or over","Hungary","Percentage","Fourth quintile","2014","Total","Total","18.6",""
"Zero minutes","Malta","Percentage","Fourth quintile","2014","Total","Total","39.2",""
"From 1 to 149 minutes","Malta","Percentage","Fourth quintile","2014","Total","Total","20.2",""
"From 150 to 299 minutes","Malta","Percentage","Fourth quintile","2014","Total","Total","16.1",""
"300 minutes or over","Malta","Percentage","Fourth quintile","2014","Total","Total","24.5",""
"Zero minutes","Austria","Percentage","Fourth quintile","2014","Total","Total","22.0",""
"From 1 to 149 minutes","Austria","Percentage","Fourth quintile","2014","Total","Total","23.8",""
"From 150 to 299 minutes","Austria","Percentage","Fourth quintile","2014","Total","Total","24.0",""
"300 minutes or over","Austria","Percentage","Fourth quintile","2014","Total","Total","30.2",""
"Zero minutes","Poland","Percentage","Fourth quintile","2014","Total","Total","59.5",""
"From 1 to 149 minutes","Poland","Percentage","Fourth quintile","2014","Total","Total","24.2",""
"From 150 to 299 minutes","Poland","Percentage","Fourth quintile","2014","Total","Total","8.6",""
"300 minutes or over","Poland","Percentage","Fourth quintile","2014","Total","Total","7.7",""
"Zero minutes","Portugal","Percentage","Fourth quintile","2014","Total","Total","58.0",""
"From 1 to 149 minutes","Portugal","Percentage","Fourth quintile","2014","Total","Total","21.8",""
"From 150 to 299 minutes","Portugal","Percentage","Fourth quintile","2014","Total","Total","10.0",""
"300 minutes or over","Portugal","Percentage","Fourth quintile","2014","Total","Total","10.2",""
"Zero minutes","Romania","Percentage","Fourth quintile","2014","Total","Total","84.9",""
"From 1 to 149 minutes","Romania","Percentage","Fourth quintile","2014","Total","Total","7.0",""
"From 150 to 299 minutes","Romania","Percentage","Fourth quintile","2014","Total","Total","3.8",""
"300 minutes or over","Romania","Percentage","Fourth quintile","2014","Total","Total","4.3",""
"Zero minutes","Slovenia","Percentage","Fourth quintile","2014","Total","Total","26.9",""
"From 1 to 149 minutes","Slovenia","Percentage","Fourth quintile","2014","Total","Total","24.4",""
"From 150 to 299 minutes","Slovenia","Percentage","Fourth quintile","2014","Total","Total","21.4",""
"300 minutes or over","Slovenia","Percentage","Fourth quintile","2014","Total","Total","27.3",""
"Zero minutes","Slovakia","Percentage","Fourth quintile","2014","Total","Total","43.5",""
"From 1 to 149 minutes","Slovakia","Percentage","Fourth quintile","2014","Total","Total","21.7",""
"From 150 to 299 minutes","Slovakia","Percentage","Fourth quintile","2014","Total","Total","16.4",""
"300 minutes or over","Slovakia","Percentage","Fourth quintile","2014","Total","Total","18.5",""
"Zero minutes","Finland","Percentage","Fourth quintile","2014","Total","Total","19.9",""
"From 1 to 149 minutes","Finland","Percentage","Fourth quintile","2014","Total","Total","23.2",""
"From 150 to 299 minutes","Finland","Percentage","Fourth quintile","2014","Total","Total","27.2",""
"300 minutes or over","Finland","Percentage","Fourth quintile","2014","Total","Total","29.7",""
"Zero minutes","Sweden","Percentage","Fourth quintile","2014","Total","Total","20.9",""
"From 1 to 149 minutes","Sweden","Percentage","Fourth quintile","2014","Total","Total","23.7",""
"From 150 to 299 minutes","Sweden","Percentage","Fourth quintile","2014","Total","Total","26.0",""
"300 minutes or over","Sweden","Percentage","Fourth quintile","2014","Total","Total","29.3",""
"Zero minutes","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","35.0",""
"From 1 to 149 minutes","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","23.6",""
"From 150 to 299 minutes","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","18.4",""
"300 minutes or over","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","23.0",""
"Zero minutes","Iceland","Percentage","Fourth quintile","2014","Total","Total","23.5",""
"From 1 to 149 minutes","Iceland","Percentage","Fourth quintile","2014","Total","Total","9.9",""
"From 150 to 299 minutes","Iceland","Percentage","Fourth quintile","2014","Total","Total","33.8",""
"300 minutes or over","Iceland","Percentage","Fourth quintile","2014","Total","Total","32.8",""
"Zero minutes","Norway","Percentage","Fourth quintile","2014","Total","Total","22.5",""
"From 1 to 149 minutes","Norway","Percentage","Fourth quintile","2014","Total","Total","18.5",""
"From 150 to 299 minutes","Norway","Percentage","Fourth quintile","2014","Total","Total","24.9",""
"300 minutes or over","Norway","Percentage","Fourth quintile","2014","Total","Total","34.1",""
"Zero minutes","Turkey","Percentage","Fourth quintile","2014","Total","Total","85.9",""
"From 1 to 149 minutes","Turkey","Percentage","Fourth quintile","2014","Total","Total","8.5",""
"From 150 to 299 minutes","Turkey","Percentage","Fourth quintile","2014","Total","Total","2.8",""
"300 minutes or over","Turkey","Percentage","Fourth quintile","2014","Total","Total","2.8",""
