"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every month","Estonia","Percentage","Fifth quintile","2014","Total","Total","37.0",""
"Less than once a month","Estonia","Percentage","Fifth quintile","2014","Total","Total","22.2",""
"Never or not in the last 12 months","Estonia","Percentage","Fifth quintile","2014","Total","Total","8.5",""
"Every day","Ireland","Percentage","Fifth quintile","2014","Total","Total","1.9",""
"Every week","Ireland","Percentage","Fifth quintile","2014","Total","Total","45.2",""
"Every month","Ireland","Percentage","Fifth quintile","2014","Total","Total","26.1",""
"Less than once a month","Ireland","Percentage","Fifth quintile","2014","Total","Total","10.9",""
"Never or not in the last 12 months","Ireland","Percentage","Fifth quintile","2014","Total","Total","15.9",""
"Every day","Greece","Percentage","Fifth quintile","2014","Total","Total","8.2",""
"Every week","Greece","Percentage","Fifth quintile","2014","Total","Total","29.3",""
"Every month","Greece","Percentage","Fifth quintile","2014","Total","Total","28.8",""
"Less than once a month","Greece","Percentage","Fifth quintile","2014","Total","Total","11.3",""
"Never or not in the last 12 months","Greece","Percentage","Fifth quintile","2014","Total","Total","22.4",""
"Every day","Spain","Percentage","Fifth quintile","2014","Total","Total","18.4",""
"Every week","Spain","Percentage","Fifth quintile","2014","Total","Total","33.4",""
"Every month","Spain","Percentage","Fifth quintile","2014","Total","Total","19.5",""
"Less than once a month","Spain","Percentage","Fifth quintile","2014","Total","Total","9.8",""
"Never or not in the last 12 months","Spain","Percentage","Fifth quintile","2014","Total","Total","18.9",""
"Every day","Croatia","Percentage","Fifth quintile","2014","Total","Total","11.0",""
"Every week","Croatia","Percentage","Fifth quintile","2014","Total","Total","22.0",""
"Every month","Croatia","Percentage","Fifth quintile","2014","Total","Total","22.9",""
"Less than once a month","Croatia","Percentage","Fifth quintile","2014","Total","Total","11.6",""
"Never or not in the last 12 months","Croatia","Percentage","Fifth quintile","2014","Total","Total","32.6",""
"Every day","Italy","Percentage","Fifth quintile","2014","Total","Total","16.1","d"
"Every week","Italy","Percentage","Fifth quintile","2014","Total","Total","28.6","d"
"Every month","Italy","Percentage","Fifth quintile","2014","Total","Total","20.9",""
"Less than once a month","Italy","Percentage","Fifth quintile","2014","Total","Total","8.4","d"
"Never or not in the last 12 months","Italy","Percentage","Fifth quintile","2014","Total","Total","26.1","d"
"Every day","Cyprus","Percentage","Fifth quintile","2014","Total","Total","4.6",""
"Every week","Cyprus","Percentage","Fifth quintile","2014","Total","Total","23.5",""
"Every month","Cyprus","Percentage","Fifth quintile","2014","Total","Total","27.1",""
"Less than once a month","Cyprus","Percentage","Fifth quintile","2014","Total","Total","6.9",""
"Never or not in the last 12 months","Cyprus","Percentage","Fifth quintile","2014","Total","Total","37.8",""
"Every day","Latvia","Percentage","Fifth quintile","2014","Total","Total","0.9",""
"Every week","Latvia","Percentage","Fifth quintile","2014","Total","Total","22.1",""
"Every month","Latvia","Percentage","Fifth quintile","2014","Total","Total","41.2",""
"Less than once a month","Latvia","Percentage","Fifth quintile","2014","Total","Total","23.9",""
"Never or not in the last 12 months","Latvia","Percentage","Fifth quintile","2014","Total","Total","11.8",""
"Every day","Lithuania","Percentage","Fifth quintile","2014","Total","Total","0.6",""
"Every week","Lithuania","Percentage","Fifth quintile","2014","Total","Total","15.0",""
"Every month","Lithuania","Percentage","Fifth quintile","2014","Total","Total","48.2",""
"Less than once a month","Lithuania","Percentage","Fifth quintile","2014","Total","Total","22.7",""
"Never or not in the last 12 months","Lithuania","Percentage","Fifth quintile","2014","Total","Total","13.4",""
"Every day","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","13.0",""
"Every week","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","56.0",""
"Every month","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","18.3",""
"Less than once a month","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","4.5",""
"Never or not in the last 12 months","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","8.2",""
"Every day","Hungary","Percentage","Fifth quintile","2014","Total","Total","4.3",""
"Every week","Hungary","Percentage","Fifth quintile","2014","Total","Total","23.0",""
"Every month","Hungary","Percentage","Fifth quintile","2014","Total","Total","30.1",""
"Less than once a month","Hungary","Percentage","Fifth quintile","2014","Total","Total","22.2",""
"Never or not in the last 12 months","Hungary","Percentage","Fifth quintile","2014","Total","Total","20.3",""
"Every day","Malta","Percentage","Fifth quintile","2014","Total","Total","5.6",""
"Every week","Malta","Percentage","Fifth quintile","2014","Total","Total","40.8",""
"Every month","Malta","Percentage","Fifth quintile","2014","Total","Total","27.5",""
"Less than once a month","Malta","Percentage","Fifth quintile","2014","Total","Total","11.1",""
"Never or not in the last 12 months","Malta","Percentage","Fifth quintile","2014","Total","Total","15.1",""
"Every day","Austria","Percentage","Fifth quintile","2014","Total","Total","7.6",""
"Every week","Austria","Percentage","Fifth quintile","2014","Total","Total","41.8",""
"Every month","Austria","Percentage","Fifth quintile","2014","Total","Total","30.3",""
"Less than once a month","Austria","Percentage","Fifth quintile","2014","Total","Total","10.2",""
"Never or not in the last 12 months","Austria","Percentage","Fifth quintile","2014","Total","Total","10.2",""
"Every day","Poland","Percentage","Fifth quintile","2014","Total","Total","2.3",""
"Every week","Poland","Percentage","Fifth quintile","2014","Total","Total","22.8",""
"Every month","Poland","Percentage","Fifth quintile","2014","Total","Total","34.2",""
"Less than once a month","Poland","Percentage","Fifth quintile","2014","Total","Total","23.1",""
"Never or not in the last 12 months","Poland","Percentage","Fifth quintile","2014","Total","Total","17.6",""
"Every day","Portugal","Percentage","Fifth quintile","2014","Total","Total","22.5",""
"Every week","Portugal","Percentage","Fifth quintile","2014","Total","Total","27.9",""
"Every month","Portugal","Percentage","Fifth quintile","2014","Total","Total","17.6",""
"Less than once a month","Portugal","Percentage","Fifth quintile","2014","Total","Total","12.6",""
"Never or not in the last 12 months","Portugal","Percentage","Fifth quintile","2014","Total","Total","19.5",""
"Every day","Romania","Percentage","Fifth quintile","2014","Total","Total","2.3",""
"Every week","Romania","Percentage","Fifth quintile","2014","Total","Total","13.8",""
"Every month","Romania","Percentage","Fifth quintile","2014","Total","Total","32.5",""
"Less than once a month","Romania","Percentage","Fifth quintile","2014","Total","Total","14.0",""
"Never or not in the last 12 months","Romania","Percentage","Fifth quintile","2014","Total","Total","37.4",""
"Every day","Slovenia","Percentage","Fifth quintile","2014","Total","Total","5.8",""
"Every week","Slovenia","Percentage","Fifth quintile","2014","Total","Total","36.1",""
"Every month","Slovenia","Percentage","Fifth quintile","2014","Total","Total","31.0",""
"Less than once a month","Slovenia","Percentage","Fifth quintile","2014","Total","Total","13.7",""
"Never or not in the last 12 months","Slovenia","Percentage","Fifth quintile","2014","Total","Total","13.5",""
"Every day","Slovakia","Percentage","Fifth quintile","2014","Total","Total","3.1",""
"Every week","Slovakia","Percentage","Fifth quintile","2014","Total","Total","21.0",""
"Every month","Slovakia","Percentage","Fifth quintile","2014","Total","Total","35.3",""
"Less than once a month","Slovakia","Percentage","Fifth quintile","2014","Total","Total","22.6",""
"Never or not in the last 12 months","Slovakia","Percentage","Fifth quintile","2014","Total","Total","17.9",""
"Every day","Finland","Percentage","Fifth quintile","2014","Total","Total","3.5",""
"Every week","Finland","Percentage","Fifth quintile","2014","Total","Total","50.7",""
"Every month","Finland","Percentage","Fifth quintile","2014","Total","Total","27.6",""
"Less than once a month","Finland","Percentage","Fifth quintile","2014","Total","Total","10.8",""
"Never or not in the last 12 months","Finland","Percentage","Fifth quintile","2014","Total","Total","7.4",""
"Every day","Sweden","Percentage","Fifth quintile","2014","Total","Total","4.2",""
"Every week","Sweden","Percentage","Fifth quintile","2014","Total","Total","56.3",""
"Every month","Sweden","Percentage","Fifth quintile","2014","Total","Total","24.7",""
"Less than once a month","Sweden","Percentage","Fifth quintile","2014","Total","Total","10.1",""
"Never or not in the last 12 months","Sweden","Percentage","Fifth quintile","2014","Total","Total","4.8",""
"Every day","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","9.9",""
"Every week","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","59.5",""
"Every month","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","14.7",""
"Less than once a month","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","9.7",""
"Never or not in the last 12 months","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","6.3",""
"Every day","Iceland","Percentage","Fifth quintile","2014","Total","Total","0.2",""
"Every week","Iceland","Percentage","Fifth quintile","2014","Total","Total","27.6",""
"Every month","Iceland","Percentage","Fifth quintile","2014","Total","Total","43.1",""
"Less than once a month","Iceland","Percentage","Fifth quintile","2014","Total","Total","15.7",""
"Never or not in the last 12 months","Iceland","Percentage","Fifth quintile","2014","Total","Total","13.4",""
"Every day","Norway","Percentage","Fifth quintile","2014","Total","Total","2.8",""
"Every week","Norway","Percentage","Fifth quintile","2014","Total","Total","42.8",""
"Every month","Norway","Percentage","Fifth quintile","2014","Total","Total","45.5",""
"Less than once a month","Norway","Percentage","Fifth quintile","2014","Total","Total","0",""
"Never or not in the last 12 months","Norway","Percentage","Fifth quintile","2014","Total","Total","8.9",""
"Every day","Turkey","Percentage","Fifth quintile","2014","Total","Total","0.7",""
"Every week","Turkey","Percentage","Fifth quintile","2014","Total","Total","4.5",""
"Every month","Turkey","Percentage","Fifth quintile","2014","Total","Total","8.1",""
"Less than once a month","Turkey","Percentage","Fifth quintile","2014","Total","Total","10.1",""
"Never or not in the last 12 months","Turkey","Percentage","Fifth quintile","2014","Total","Total","76.6",""
