"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"From 1 to 4 portions","Ireland","Percentage","2014","Fifth quintile","Total","Total","35.8",""
"5 portions or more","Ireland","Percentage","2014","Fifth quintile","Total","Total","30.6",""
"0 portions","Greece","Percentage","2014","Fifth quintile","Total","Total","28.1",""
"From 1 to 4 portions","Greece","Percentage","2014","Fifth quintile","Total","Total","62.1",""
"5 portions or more","Greece","Percentage","2014","Fifth quintile","Total","Total","9.8",""
"0 portions","Spain","Percentage","2014","Fifth quintile","Total","Total","21.2",""
"From 1 to 4 portions","Spain","Percentage","2014","Fifth quintile","Total","Total","64.8",""
"5 portions or more","Spain","Percentage","2014","Fifth quintile","Total","Total","14.1",""
"0 portions","France","Percentage","2014","Fifth quintile","Total","Total","28.6",""
"From 1 to 4 portions","France","Percentage","2014","Fifth quintile","Total","Total","53.7",""
"5 portions or more","France","Percentage","2014","Fifth quintile","Total","Total","17.8",""
"0 portions","Croatia","Percentage","2014","Fifth quintile","Total","Total","19.7",""
"From 1 to 4 portions","Croatia","Percentage","2014","Fifth quintile","Total","Total","71.2",""
"5 portions or more","Croatia","Percentage","2014","Fifth quintile","Total","Total","9.1",""
"0 portions","Italy","Percentage","2014","Fifth quintile","Total","Total","18.3",""
"From 1 to 4 portions","Italy","Percentage","2014","Fifth quintile","Total","Total","66.6",""
"5 portions or more","Italy","Percentage","2014","Fifth quintile","Total","Total","15.1",""
"0 portions","Cyprus","Percentage","2014","Fifth quintile","Total","Total","24.8",""
"From 1 to 4 portions","Cyprus","Percentage","2014","Fifth quintile","Total","Total","56.5",""
"5 portions or more","Cyprus","Percentage","2014","Fifth quintile","Total","Total","18.7",""
"0 portions","Latvia","Percentage","2014","Fifth quintile","Total","Total","48.9",""
"From 1 to 4 portions","Latvia","Percentage","2014","Fifth quintile","Total","Total","38.2",""
"5 portions or more","Latvia","Percentage","2014","Fifth quintile","Total","Total","12.9",""
"0 portions","Lithuania","Percentage","2014","Fifth quintile","Total","Total","27.9",""
"From 1 to 4 portions","Lithuania","Percentage","2014","Fifth quintile","Total","Total","56.2",""
"5 portions or more","Lithuania","Percentage","2014","Fifth quintile","Total","Total","15.9",""
"0 portions","Luxembourg","Percentage","2014","Fifth quintile","Total","Total","35.2",""
"From 1 to 4 portions","Luxembourg","Percentage","2014","Fifth quintile","Total","Total","50.2",""
"5 portions or more","Luxembourg","Percentage","2014","Fifth quintile","Total","Total","14.6",""
"0 portions","Hungary","Percentage","2014","Fifth quintile","Total","Total","29.0",""
"From 1 to 4 portions","Hungary","Percentage","2014","Fifth quintile","Total","Total","59.2",""
"5 portions or more","Hungary","Percentage","2014","Fifth quintile","Total","Total","11.8",""
"0 portions","Malta","Percentage","2014","Fifth quintile","Total","Total","35.2",""
"From 1 to 4 portions","Malta","Percentage","2014","Fifth quintile","Total","Total","46.7",""
"5 portions or more","Malta","Percentage","2014","Fifth quintile","Total","Total","18.1",""
"0 portions","Netherlands","Percentage","2014","Fifth quintile","Total","Total","43.0",""
"From 1 to 4 portions","Netherlands","Percentage","2014","Fifth quintile","Total","Total","28.2",""
"5 portions or more","Netherlands","Percentage","2014","Fifth quintile","Total","Total","28.8",""
"0 portions","Austria","Percentage","2014","Fifth quintile","Total","Total","32.1",""
"From 1 to 4 portions","Austria","Percentage","2014","Fifth quintile","Total","Total","60.1",""
"5 portions or more","Austria","Percentage","2014","Fifth quintile","Total","Total","7.8",""
"0 portions","Poland","Percentage","2014","Fifth quintile","Total","Total","23.9",""
"From 1 to 4 portions","Poland","Percentage","2014","Fifth quintile","Total","Total","62.4",""
"5 portions or more","Poland","Percentage","2014","Fifth quintile","Total","Total","13.7",""
"0 portions","Portugal","Percentage","2014","Fifth quintile","Total","Total","15.2",""
"From 1 to 4 portions","Portugal","Percentage","2014","Fifth quintile","Total","Total","59.2",""
"5 portions or more","Portugal","Percentage","2014","Fifth quintile","Total","Total","25.6",""
"0 portions","Romania","Percentage","2014","Fifth quintile","Total","Total","53.5",""
"From 1 to 4 portions","Romania","Percentage","2014","Fifth quintile","Total","Total","42.1",""
"5 portions or more","Romania","Percentage","2014","Fifth quintile","Total","Total","4.4",""
"0 portions","Slovenia","Percentage","2014","Fifth quintile","Total","Total","29.8",""
"From 1 to 4 portions","Slovenia","Percentage","2014","Fifth quintile","Total","Total","63.2",""
"5 portions or more","Slovenia","Percentage","2014","Fifth quintile","Total","Total","7.0",""
"0 portions","Slovakia","Percentage","2014","Fifth quintile","Total","Total","43.9",""
"From 1 to 4 portions","Slovakia","Percentage","2014","Fifth quintile","Total","Total","43.2",""
"5 portions or more","Slovakia","Percentage","2014","Fifth quintile","Total","Total","12.9",""
"0 portions","Finland","Percentage","2014","Fifth quintile","Total","Total","32.5",""
"From 1 to 4 portions","Finland","Percentage","2014","Fifth quintile","Total","Total","51.4",""
"5 portions or more","Finland","Percentage","2014","Fifth quintile","Total","Total","16.1",""
"0 portions","Sweden","Percentage","2014","Fifth quintile","Total","Total","33.0",""
"From 1 to 4 portions","Sweden","Percentage","2014","Fifth quintile","Total","Total","58.4",""
"5 portions or more","Sweden","Percentage","2014","Fifth quintile","Total","Total","8.6",""
"0 portions","United Kingdom","Percentage","2014","Fifth quintile","Total","Total","16.6",""
"From 1 to 4 portions","United Kingdom","Percentage","2014","Fifth quintile","Total","Total","44.7",""
"5 portions or more","United Kingdom","Percentage","2014","Fifth quintile","Total","Total","38.8",""
"0 portions","Iceland","Percentage","2014","Fifth quintile","Total","Total","32.6",""
"From 1 to 4 portions","Iceland","Percentage","2014","Fifth quintile","Total","Total","56.2",""
"5 portions or more","Iceland","Percentage","2014","Fifth quintile","Total","Total","11.2",""
"0 portions","Norway","Percentage","2014","Fifth quintile","Total","Total","28.2",""
"From 1 to 4 portions","Norway","Percentage","2014","Fifth quintile","Total","Total","63.5",""
"5 portions or more","Norway","Percentage","2014","Fifth quintile","Total","Total","8.4",""
"0 portions","Turkey","Percentage","2014","Fifth quintile","Total","Total","26.5",""
"From 1 to 4 portions","Turkey","Percentage","2014","Fifth quintile","Total","Total","69.8",""
"5 portions or more","Turkey","Percentage","2014","Fifth quintile","Total","Total","3.7",""
