"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every week","Greece","Percentage","Fourth quintile","2014","Total","Total","26.0",""
"Every month","Greece","Percentage","Fourth quintile","2014","Total","Total","27.3",""
"Less than once a month","Greece","Percentage","Fourth quintile","2014","Total","Total","12.0",""
"Never or not in the last 12 months","Greece","Percentage","Fourth quintile","2014","Total","Total","28.1",""
"Every day","Spain","Percentage","Fourth quintile","2014","Total","Total","16.4",""
"Every week","Spain","Percentage","Fourth quintile","2014","Total","Total","25.7",""
"Every month","Spain","Percentage","Fourth quintile","2014","Total","Total","19.9",""
"Less than once a month","Spain","Percentage","Fourth quintile","2014","Total","Total","12.2",""
"Never or not in the last 12 months","Spain","Percentage","Fourth quintile","2014","Total","Total","25.8",""
"Every day","Croatia","Percentage","Fourth quintile","2014","Total","Total","12.1",""
"Every week","Croatia","Percentage","Fourth quintile","2014","Total","Total","14.4",""
"Every month","Croatia","Percentage","Fourth quintile","2014","Total","Total","21.6",""
"Less than once a month","Croatia","Percentage","Fourth quintile","2014","Total","Total","9.3",""
"Never or not in the last 12 months","Croatia","Percentage","Fourth quintile","2014","Total","Total","42.7",""
"Every day","Italy","Percentage","Fourth quintile","2014","Total","Total","15.1","d"
"Every week","Italy","Percentage","Fourth quintile","2014","Total","Total","28.8","d"
"Every month","Italy","Percentage","Fourth quintile","2014","Total","Total","20.5",""
"Less than once a month","Italy","Percentage","Fourth quintile","2014","Total","Total","7.8","d"
"Never or not in the last 12 months","Italy","Percentage","Fourth quintile","2014","Total","Total","27.9","d"
"Every day","Cyprus","Percentage","Fourth quintile","2014","Total","Total","4.2",""
"Every week","Cyprus","Percentage","Fourth quintile","2014","Total","Total","19.1",""
"Every month","Cyprus","Percentage","Fourth quintile","2014","Total","Total","25.4",""
"Less than once a month","Cyprus","Percentage","Fourth quintile","2014","Total","Total","11.2",""
"Never or not in the last 12 months","Cyprus","Percentage","Fourth quintile","2014","Total","Total","40.0",""
"Every day","Latvia","Percentage","Fourth quintile","2014","Total","Total","1.8",""
"Every week","Latvia","Percentage","Fourth quintile","2014","Total","Total","15.4",""
"Every month","Latvia","Percentage","Fourth quintile","2014","Total","Total","36.4",""
"Less than once a month","Latvia","Percentage","Fourth quintile","2014","Total","Total","29.6",""
"Never or not in the last 12 months","Latvia","Percentage","Fourth quintile","2014","Total","Total","16.8",""
"Every day","Lithuania","Percentage","Fourth quintile","2014","Total","Total","0.7",""
"Every week","Lithuania","Percentage","Fourth quintile","2014","Total","Total","12.1",""
"Every month","Lithuania","Percentage","Fourth quintile","2014","Total","Total","41.7",""
"Less than once a month","Lithuania","Percentage","Fourth quintile","2014","Total","Total","24.2",""
"Never or not in the last 12 months","Lithuania","Percentage","Fourth quintile","2014","Total","Total","21.3",""
"Every day","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","10.1",""
"Every week","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","51.0",""
"Every month","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","22.0",""
"Less than once a month","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","6.3",""
"Never or not in the last 12 months","Luxembourg","Percentage","Fourth quintile","2014","Total","Total","10.6",""
"Every day","Hungary","Percentage","Fourth quintile","2014","Total","Total","7.7",""
"Every week","Hungary","Percentage","Fourth quintile","2014","Total","Total","18.3",""
"Every month","Hungary","Percentage","Fourth quintile","2014","Total","Total","26.5",""
"Less than once a month","Hungary","Percentage","Fourth quintile","2014","Total","Total","24.5",""
"Never or not in the last 12 months","Hungary","Percentage","Fourth quintile","2014","Total","Total","23.1",""
"Every day","Malta","Percentage","Fourth quintile","2014","Total","Total","7.4",""
"Every week","Malta","Percentage","Fourth quintile","2014","Total","Total","34.5",""
"Every month","Malta","Percentage","Fourth quintile","2014","Total","Total","29.0",""
"Less than once a month","Malta","Percentage","Fourth quintile","2014","Total","Total","13.4",""
"Never or not in the last 12 months","Malta","Percentage","Fourth quintile","2014","Total","Total","15.7",""
"Every day","Austria","Percentage","Fourth quintile","2014","Total","Total","7.5",""
"Every week","Austria","Percentage","Fourth quintile","2014","Total","Total","35.9",""
"Every month","Austria","Percentage","Fourth quintile","2014","Total","Total","32.2",""
"Less than once a month","Austria","Percentage","Fourth quintile","2014","Total","Total","12.1",""
"Never or not in the last 12 months","Austria","Percentage","Fourth quintile","2014","Total","Total","12.2",""
"Every day","Poland","Percentage","Fourth quintile","2014","Total","Total","1.5",""
"Every week","Poland","Percentage","Fourth quintile","2014","Total","Total","16.8",""
"Every month","Poland","Percentage","Fourth quintile","2014","Total","Total","29.6",""
"Less than once a month","Poland","Percentage","Fourth quintile","2014","Total","Total","27.9",""
"Never or not in the last 12 months","Poland","Percentage","Fourth quintile","2014","Total","Total","24.2",""
"Every day","Portugal","Percentage","Fourth quintile","2014","Total","Total","25.6",""
"Every week","Portugal","Percentage","Fourth quintile","2014","Total","Total","20.4",""
"Every month","Portugal","Percentage","Fourth quintile","2014","Total","Total","17.8",""
"Less than once a month","Portugal","Percentage","Fourth quintile","2014","Total","Total","12.3",""
"Never or not in the last 12 months","Portugal","Percentage","Fourth quintile","2014","Total","Total","23.9",""
"Every day","Romania","Percentage","Fourth quintile","2014","Total","Total","3.3",""
"Every week","Romania","Percentage","Fourth quintile","2014","Total","Total","14.5",""
"Every month","Romania","Percentage","Fourth quintile","2014","Total","Total","28.6",""
"Less than once a month","Romania","Percentage","Fourth quintile","2014","Total","Total","11.6",""
"Never or not in the last 12 months","Romania","Percentage","Fourth quintile","2014","Total","Total","41.9",""
"Every day","Slovenia","Percentage","Fourth quintile","2014","Total","Total","4.3",""
"Every week","Slovenia","Percentage","Fourth quintile","2014","Total","Total","33.0",""
"Every month","Slovenia","Percentage","Fourth quintile","2014","Total","Total","30.8",""
"Less than once a month","Slovenia","Percentage","Fourth quintile","2014","Total","Total","15.5",""
"Never or not in the last 12 months","Slovenia","Percentage","Fourth quintile","2014","Total","Total","16.3",""
"Every day","Slovakia","Percentage","Fourth quintile","2014","Total","Total","3.4",""
"Every week","Slovakia","Percentage","Fourth quintile","2014","Total","Total","17.7",""
"Every month","Slovakia","Percentage","Fourth quintile","2014","Total","Total","29.5",""
"Less than once a month","Slovakia","Percentage","Fourth quintile","2014","Total","Total","24.5",""
"Never or not in the last 12 months","Slovakia","Percentage","Fourth quintile","2014","Total","Total","24.8",""
"Every day","Finland","Percentage","Fourth quintile","2014","Total","Total","2.5",""
"Every week","Finland","Percentage","Fourth quintile","2014","Total","Total","41.9",""
"Every month","Finland","Percentage","Fourth quintile","2014","Total","Total","29.6",""
"Less than once a month","Finland","Percentage","Fourth quintile","2014","Total","Total","16.0",""
"Never or not in the last 12 months","Finland","Percentage","Fourth quintile","2014","Total","Total","10.0",""
"Every day","Sweden","Percentage","Fourth quintile","2014","Total","Total","1.9",""
"Every week","Sweden","Percentage","Fourth quintile","2014","Total","Total","45.5",""
"Every month","Sweden","Percentage","Fourth quintile","2014","Total","Total","30.5",""
"Less than once a month","Sweden","Percentage","Fourth quintile","2014","Total","Total","13.7",""
"Never or not in the last 12 months","Sweden","Percentage","Fourth quintile","2014","Total","Total","8.4",""
"Every day","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","8.0",""
"Every week","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","51.9",""
"Every month","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","17.8",""
"Less than once a month","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","12.0",""
"Never or not in the last 12 months","United Kingdom","Percentage","Fourth quintile","2014","Total","Total","10.2",""
"Every day","Iceland","Percentage","Fourth quintile","2014","Total","Total","0.5",""
"Every week","Iceland","Percentage","Fourth quintile","2014","Total","Total","23.8",""
"Every month","Iceland","Percentage","Fourth quintile","2014","Total","Total","43.9",""
"Less than once a month","Iceland","Percentage","Fourth quintile","2014","Total","Total","17.6",""
"Never or not in the last 12 months","Iceland","Percentage","Fourth quintile","2014","Total","Total","14.2",""
"Every day","Norway","Percentage","Fourth quintile","2014","Total","Total","2.5",""
"Every week","Norway","Percentage","Fourth quintile","2014","Total","Total","34.7",""
"Every month","Norway","Percentage","Fourth quintile","2014","Total","Total","50.0",""
"Less than once a month","Norway","Percentage","Fourth quintile","2014","Total","Total","0",""
"Never or not in the last 12 months","Norway","Percentage","Fourth quintile","2014","Total","Total","12.9",""
"Every day","Turkey","Percentage","Fourth quintile","2014","Total","Total","0.5",""
"Every week","Turkey","Percentage","Fourth quintile","2014","Total","Total","3.3",""
"Every month","Turkey","Percentage","Fourth quintile","2014","Total","Total","6.2",""
"Less than once a month","Turkey","Percentage","Fourth quintile","2014","Total","Total","8.1",""
"Never or not in the last 12 months","Turkey","Percentage","Fourth quintile","2014","Total","Total","81.9",""
