"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"From 150 to 299 minutes","France","Percentage","Second quintile","2014","Total","Total","9.5",""
"300 minutes or over","France","Percentage","Second quintile","2014","Total","Total","10.6",""
"Zero minutes","Croatia","Percentage","Second quintile","2014","Total","Total","60.6",""
"From 1 to 149 minutes","Croatia","Percentage","Second quintile","2014","Total","Total","23.4",""
"From 150 to 299 minutes","Croatia","Percentage","Second quintile","2014","Total","Total","6.9",""
"300 minutes or over","Croatia","Percentage","Second quintile","2014","Total","Total","9.1",""
"Zero minutes","Italy","Percentage","Second quintile","2014","Total","Total","70.1",""
"From 1 to 149 minutes","Italy","Percentage","Second quintile","2014","Total","Total","14.2",""
"From 150 to 299 minutes","Italy","Percentage","Second quintile","2014","Total","Total","7.2",""
"300 minutes or over","Italy","Percentage","Second quintile","2014","Total","Total","8.5",""
"Zero minutes","Cyprus","Percentage","Second quintile","2014","Total","Total","66.5",""
"From 1 to 149 minutes","Cyprus","Percentage","Second quintile","2014","Total","Total","10.7",""
"From 150 to 299 minutes","Cyprus","Percentage","Second quintile","2014","Total","Total","14.1",""
"300 minutes or over","Cyprus","Percentage","Second quintile","2014","Total","Total","8.7",""
"Zero minutes","Latvia","Percentage","Second quintile","2014","Total","Total","58.1",""
"From 1 to 149 minutes","Latvia","Percentage","Second quintile","2014","Total","Total","23.3",""
"From 150 to 299 minutes","Latvia","Percentage","Second quintile","2014","Total","Total","9.2",""
"300 minutes or over","Latvia","Percentage","Second quintile","2014","Total","Total","9.4",""
"Zero minutes","Lithuania","Percentage","Second quintile","2014","Total","Total","69.4",""
"From 1 to 149 minutes","Lithuania","Percentage","Second quintile","2014","Total","Total","14.9",""
"From 150 to 299 minutes","Lithuania","Percentage","Second quintile","2014","Total","Total","7.9",""
"300 minutes or over","Lithuania","Percentage","Second quintile","2014","Total","Total","7.7",""
"Zero minutes","Luxembourg","Percentage","Second quintile","2014","Total","Total","46.4",""
"From 1 to 149 minutes","Luxembourg","Percentage","Second quintile","2014","Total","Total","19.4",""
"From 150 to 299 minutes","Luxembourg","Percentage","Second quintile","2014","Total","Total","14.3",""
"300 minutes or over","Luxembourg","Percentage","Second quintile","2014","Total","Total","20.0",""
"Zero minutes","Hungary","Percentage","Second quintile","2014","Total","Total","47.2",""
"From 1 to 149 minutes","Hungary","Percentage","Second quintile","2014","Total","Total","27.5",""
"From 150 to 299 minutes","Hungary","Percentage","Second quintile","2014","Total","Total","9.8",""
"300 minutes or over","Hungary","Percentage","Second quintile","2014","Total","Total","15.6",""
"Zero minutes","Malta","Percentage","Second quintile","2014","Total","Total","49.7",""
"From 1 to 149 minutes","Malta","Percentage","Second quintile","2014","Total","Total","13.6",""
"From 150 to 299 minutes","Malta","Percentage","Second quintile","2014","Total","Total","16.7",""
"300 minutes or over","Malta","Percentage","Second quintile","2014","Total","Total","20.0",""
"Zero minutes","Austria","Percentage","Second quintile","2014","Total","Total","28.1",""
"From 1 to 149 minutes","Austria","Percentage","Second quintile","2014","Total","Total","25.0",""
"From 150 to 299 minutes","Austria","Percentage","Second quintile","2014","Total","Total","18.9",""
"300 minutes or over","Austria","Percentage","Second quintile","2014","Total","Total","27.9",""
"Zero minutes","Poland","Percentage","Second quintile","2014","Total","Total","61.5",""
"From 1 to 149 minutes","Poland","Percentage","Second quintile","2014","Total","Total","24.2",""
"From 150 to 299 minutes","Poland","Percentage","Second quintile","2014","Total","Total","7.1",""
"300 minutes or over","Poland","Percentage","Second quintile","2014","Total","Total","7.2",""
"Zero minutes","Portugal","Percentage","Second quintile","2014","Total","Total","69.1",""
"From 1 to 149 minutes","Portugal","Percentage","Second quintile","2014","Total","Total","16.4",""
"From 150 to 299 minutes","Portugal","Percentage","Second quintile","2014","Total","Total","8.0",""
"300 minutes or over","Portugal","Percentage","Second quintile","2014","Total","Total","6.4",""
"Zero minutes","Romania","Percentage","Second quintile","2014","Total","Total","83.2",""
"From 1 to 149 minutes","Romania","Percentage","Second quintile","2014","Total","Total","7.2",""
"From 150 to 299 minutes","Romania","Percentage","Second quintile","2014","Total","Total","5.7",""
"300 minutes or over","Romania","Percentage","Second quintile","2014","Total","Total","4.0",""
"Zero minutes","Slovenia","Percentage","Second quintile","2014","Total","Total","44.2",""
"From 1 to 149 minutes","Slovenia","Percentage","Second quintile","2014","Total","Total","23.7",""
"From 150 to 299 minutes","Slovenia","Percentage","Second quintile","2014","Total","Total","14.5",""
"300 minutes or over","Slovenia","Percentage","Second quintile","2014","Total","Total","17.6",""
"Zero minutes","Slovakia","Percentage","Second quintile","2014","Total","Total","53.0",""
"From 1 to 149 minutes","Slovakia","Percentage","Second quintile","2014","Total","Total","23.7",""
"From 150 to 299 minutes","Slovakia","Percentage","Second quintile","2014","Total","Total","11.3",""
"300 minutes or over","Slovakia","Percentage","Second quintile","2014","Total","Total","12.0",""
"Zero minutes","Finland","Percentage","Second quintile","2014","Total","Total","25.6",""
"From 1 to 149 minutes","Finland","Percentage","Second quintile","2014","Total","Total","22.8",""
"From 150 to 299 minutes","Finland","Percentage","Second quintile","2014","Total","Total","24.6",""
"300 minutes or over","Finland","Percentage","Second quintile","2014","Total","Total","26.9",""
"Zero minutes","Sweden","Percentage","Second quintile","2014","Total","Total","35.6",""
"From 1 to 149 minutes","Sweden","Percentage","Second quintile","2014","Total","Total","17.6",""
"From 150 to 299 minutes","Sweden","Percentage","Second quintile","2014","Total","Total","18.4",""
"300 minutes or over","Sweden","Percentage","Second quintile","2014","Total","Total","28.4",""
"Zero minutes","United Kingdom","Percentage","Second quintile","2014","Total","Total","49.8",""
"From 1 to 149 minutes","United Kingdom","Percentage","Second quintile","2014","Total","Total","20.4",""
"From 150 to 299 minutes","United Kingdom","Percentage","Second quintile","2014","Total","Total","13.7",""
"300 minutes or over","United Kingdom","Percentage","Second quintile","2014","Total","Total","16.1",""
"Zero minutes","Iceland","Percentage","Second quintile","2014","Total","Total","36.4",""
"From 1 to 149 minutes","Iceland","Percentage","Second quintile","2014","Total","Total","12.1",""
"From 150 to 299 minutes","Iceland","Percentage","Second quintile","2014","Total","Total","26.1",""
"300 minutes or over","Iceland","Percentage","Second quintile","2014","Total","Total","25.4",""
"Zero minutes","Norway","Percentage","Second quintile","2014","Total","Total","33.1",""
"From 1 to 149 minutes","Norway","Percentage","Second quintile","2014","Total","Total","16.4",""
"From 150 to 299 minutes","Norway","Percentage","Second quintile","2014","Total","Total","17.3",""
"300 minutes or over","Norway","Percentage","Second quintile","2014","Total","Total","33.2",""
"Zero minutes","Turkey","Percentage","Second quintile","2014","Total","Total","90.3",""
"From 1 to 149 minutes","Turkey","Percentage","Second quintile","2014","Total","Total","6.0",""
"From 150 to 299 minutes","Turkey","Percentage","Second quintile","2014","Total","Total","1.8",""
"300 minutes or over","Turkey","Percentage","Second quintile","2014","Total","Total","1.9",""
