"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every month","Poland","Percentage","Third quintile","2014","Total","Total","27.2",""
"Less than once a month","Poland","Percentage","Third quintile","2014","Total","Total","25.9",""
"Never or not in the last 12 months","Poland","Percentage","Third quintile","2014","Total","Total","32.2",""
"Every day","Portugal","Percentage","Third quintile","2014","Total","Total","23.8",""
"Every week","Portugal","Percentage","Third quintile","2014","Total","Total","18.0",""
"Every month","Portugal","Percentage","Third quintile","2014","Total","Total","14.8",""
"Less than once a month","Portugal","Percentage","Third quintile","2014","Total","Total","11.7",""
"Never or not in the last 12 months","Portugal","Percentage","Third quintile","2014","Total","Total","31.7",""
"Every day","Romania","Percentage","Third quintile","2014","Total","Total","3.6",""
"Every week","Romania","Percentage","Third quintile","2014","Total","Total","15.7",""
"Every month","Romania","Percentage","Third quintile","2014","Total","Total","25.5",""
"Less than once a month","Romania","Percentage","Third quintile","2014","Total","Total","12.5",""
"Never or not in the last 12 months","Romania","Percentage","Third quintile","2014","Total","Total","42.6",""
"Every day","Slovenia","Percentage","Third quintile","2014","Total","Total","9.3",""
"Every week","Slovenia","Percentage","Third quintile","2014","Total","Total","28.1",""
"Every month","Slovenia","Percentage","Third quintile","2014","Total","Total","25.7",""
"Less than once a month","Slovenia","Percentage","Third quintile","2014","Total","Total","18.2",""
"Never or not in the last 12 months","Slovenia","Percentage","Third quintile","2014","Total","Total","18.6",""
"Every day","Slovakia","Percentage","Third quintile","2014","Total","Total","3.9",""
"Every week","Slovakia","Percentage","Third quintile","2014","Total","Total","13.9",""
"Every month","Slovakia","Percentage","Third quintile","2014","Total","Total","28.9",""
"Less than once a month","Slovakia","Percentage","Third quintile","2014","Total","Total","24.8",""
"Never or not in the last 12 months","Slovakia","Percentage","Third quintile","2014","Total","Total","28.4",""
"Every day","Finland","Percentage","Third quintile","2014","Total","Total","2.7",""
"Every week","Finland","Percentage","Third quintile","2014","Total","Total","34.6",""
"Every month","Finland","Percentage","Third quintile","2014","Total","Total","32.6",""
"Less than once a month","Finland","Percentage","Third quintile","2014","Total","Total","16.6",""
"Never or not in the last 12 months","Finland","Percentage","Third quintile","2014","Total","Total","13.4",""
"Every day","Sweden","Percentage","Third quintile","2014","Total","Total","2.4",""
"Every week","Sweden","Percentage","Third quintile","2014","Total","Total","35.2",""
"Every month","Sweden","Percentage","Third quintile","2014","Total","Total","31.0",""
"Less than once a month","Sweden","Percentage","Third quintile","2014","Total","Total","16.6",""
"Never or not in the last 12 months","Sweden","Percentage","Third quintile","2014","Total","Total","14.8",""
"Every day","United Kingdom","Percentage","Third quintile","2014","Total","Total","7.6",""
"Every week","United Kingdom","Percentage","Third quintile","2014","Total","Total","44.7",""
"Every month","United Kingdom","Percentage","Third quintile","2014","Total","Total","15.7",""
"Less than once a month","United Kingdom","Percentage","Third quintile","2014","Total","Total","15.4",""
"Never or not in the last 12 months","United Kingdom","Percentage","Third quintile","2014","Total","Total","16.6",""
"Every day","Iceland","Percentage","Third quintile","2014","Total","Total","0.6",""
"Every week","Iceland","Percentage","Third quintile","2014","Total","Total","16.5",""
"Every month","Iceland","Percentage","Third quintile","2014","Total","Total","39.3",""
"Less than once a month","Iceland","Percentage","Third quintile","2014","Total","Total","25.7",""
"Never or not in the last 12 months","Iceland","Percentage","Third quintile","2014","Total","Total","17.9",""
"Every day","Norway","Percentage","Third quintile","2014","Total","Total","1.9",""
"Every week","Norway","Percentage","Third quintile","2014","Total","Total","30.0",""
"Every month","Norway","Percentage","Third quintile","2014","Total","Total","51.7",""
"Less than once a month","Norway","Percentage","Third quintile","2014","Total","Total","0",""
"Never or not in the last 12 months","Norway","Percentage","Third quintile","2014","Total","Total","16.4",""
"Every day","Turkey","Percentage","Third quintile","2014","Total","Total","0.9",""
"Every week","Turkey","Percentage","Third quintile","2014","Total","Total","3.0",""
"Every month","Turkey","Percentage","Third quintile","2014","Total","Total","4.4",""
"Less than once a month","Turkey","Percentage","Third quintile","2014","Total","Total","7.3",""
"Never or not in the last 12 months","Turkey","Percentage","Third quintile","2014","Total","Total","84.4",""
