"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every month","Spain","Percentage","Total","2014","Total","Total","18.8",""
"Less than once a month","Spain","Percentage","Total","2014","Total","Total","12.4",""
"Never or not in the last 12 months","Spain","Percentage","Total","2014","Total","Total","31.3",""
"Every day","Croatia","Percentage","Total","2014","Total","Total","9.1",""
"Every week","Croatia","Percentage","Total","2014","Total","Total","14.9",""
"Every month","Croatia","Percentage","Total","2014","Total","Total","19.9",""
"Less than once a month","Croatia","Percentage","Total","2014","Total","Total","12.3",""
"Never or not in the last 12 months","Croatia","Percentage","Total","2014","Total","Total","43.9",""
"Every day","Italy","Percentage","Total","2014","Total","Total","14.1","d"
"Every week","Italy","Percentage","Total","2014","Total","Total","24.4","d"
"Every month","Italy","Percentage","Total","2014","Total","Total","20.0",""
"Less than once a month","Italy","Percentage","Total","2014","Total","Total","8.7","d"
"Never or not in the last 12 months","Italy","Percentage","Total","2014","Total","Total","32.8","d"
"Every day","Cyprus","Percentage","Total","2014","Total","Total","4.2",""
"Every week","Cyprus","Percentage","Total","2014","Total","Total","16.9",""
"Every month","Cyprus","Percentage","Total","2014","Total","Total","23.6",""
"Less than once a month","Cyprus","Percentage","Total","2014","Total","Total","8.9",""
"Never or not in the last 12 months","Cyprus","Percentage","Total","2014","Total","Total","46.4",""
"Every day","Latvia","Percentage","Total","2014","Total","Total","1.4",""
"Every week","Latvia","Percentage","Total","2014","Total","Total","13.4",""
"Every month","Latvia","Percentage","Total","2014","Total","Total","32.8",""
"Less than once a month","Latvia","Percentage","Total","2014","Total","Total","29.2",""
"Never or not in the last 12 months","Latvia","Percentage","Total","2014","Total","Total","23.1",""
"Every day","Lithuania","Percentage","Total","2014","Total","Total","0.6",""
"Every week","Lithuania","Percentage","Total","2014","Total","Total","12.9",""
"Every month","Lithuania","Percentage","Total","2014","Total","Total","37.6",""
"Less than once a month","Lithuania","Percentage","Total","2014","Total","Total","24.3",""
"Never or not in the last 12 months","Lithuania","Percentage","Total","2014","Total","Total","24.6",""
"Every day","Luxembourg","Percentage","Total","2014","Total","Total","9.6",""
"Every week","Luxembourg","Percentage","Total","2014","Total","Total","40.6",""
"Every month","Luxembourg","Percentage","Total","2014","Total","Total","23.5",""
"Less than once a month","Luxembourg","Percentage","Total","2014","Total","Total","8.7",""
"Never or not in the last 12 months","Luxembourg","Percentage","Total","2014","Total","Total","17.7",""
"Every day","Hungary","Percentage","Total","2014","Total","Total","7.3",""
"Every week","Hungary","Percentage","Total","2014","Total","Total","16.4",""
"Every month","Hungary","Percentage","Total","2014","Total","Total","22.4",""
"Less than once a month","Hungary","Percentage","Total","2014","Total","Total","24.1",""
"Never or not in the last 12 months","Hungary","Percentage","Total","2014","Total","Total","29.8",""
"Every day","Malta","Percentage","Total","2014","Total","Total","7.4",""
"Every week","Malta","Percentage","Total","2014","Total","Total","28.8",""
"Every month","Malta","Percentage","Total","2014","Total","Total","25.5",""
"Less than once a month","Malta","Percentage","Total","2014","Total","Total","14.3",""
"Never or not in the last 12 months","Malta","Percentage","Total","2014","Total","Total","24.1",""
"Every day","Austria","Percentage","Total","2014","Total","Total","6.2",""
"Every week","Austria","Percentage","Total","2014","Total","Total","31.5",""
"Every month","Austria","Percentage","Total","2014","Total","Total","31.8",""
"Less than once a month","Austria","Percentage","Total","2014","Total","Total","13.0",""
"Never or not in the last 12 months","Austria","Percentage","Total","2014","Total","Total","17.4",""
"Every day","Poland","Percentage","Total","2014","Total","Total","1.8",""
"Every week","Poland","Percentage","Total","2014","Total","Total","16.0",""
"Every month","Poland","Percentage","Total","2014","Total","Total","28.5",""
"Less than once a month","Poland","Percentage","Total","2014","Total","Total","25.9",""
"Never or not in the last 12 months","Poland","Percentage","Total","2014","Total","Total","27.8",""
"Every day","Portugal","Percentage","Total","2014","Total","Total","24.2",""
"Every week","Portugal","Percentage","Total","2014","Total","Total","19.1",""
"Every month","Portugal","Percentage","Total","2014","Total","Total","14.8",""
"Less than once a month","Portugal","Percentage","Total","2014","Total","Total","12.0",""
"Never or not in the last 12 months","Portugal","Percentage","Total","2014","Total","Total","30.0",""
"Every day","Romania","Percentage","Total","2014","Total","Total","3.8",""
"Every week","Romania","Percentage","Total","2014","Total","Total","15.2",""
"Every month","Romania","Percentage","Total","2014","Total","Total","27.0",""
"Less than once a month","Romania","Percentage","Total","2014","Total","Total","11.9",""
"Never or not in the last 12 months","Romania","Percentage","Total","2014","Total","Total","42.1",""
"Every day","Slovenia","Percentage","Total","2014","Total","Total","7.7",""
"Every week","Slovenia","Percentage","Total","2014","Total","Total","26.5",""
"Every month","Slovenia","Percentage","Total","2014","Total","Total","25.7",""
"Less than once a month","Slovenia","Percentage","Total","2014","Total","Total","16.5",""
"Never or not in the last 12 months","Slovenia","Percentage","Total","2014","Total","Total","23.6",""
"Every day","Slovakia","Percentage","Total","2014","Total","Total","3.1",""
"Every week","Slovakia","Percentage","Total","2014","Total","Total","15.9",""
"Every month","Slovakia","Percentage","Total","2014","Total","Total","29.6",""
"Less than once a month","Slovakia","Percentage","Total","2014","Total","Total","22.9",""
"Never or not in the last 12 months","Slovakia","Percentage","Total","2014","Total","Total","28.4",""
"Every day","Finland","Percentage","Total","2014","Total","Total","2.7",""
"Every week","Finland","Percentage","Total","2014","Total","Total","36.6",""
"Every month","Finland","Percentage","Total","2014","Total","Total","29.7",""
"Less than once a month","Finland","Percentage","Total","2014","Total","Total","16.0",""
"Never or not in the last 12 months","Finland","Percentage","Total","2014","Total","Total","15.0",""
"Every day","Sweden","Percentage","Total","2014","Total","Total","2.7",""
"Every week","Sweden","Percentage","Total","2014","Total","Total","36.9",""
"Every month","Sweden","Percentage","Total","2014","Total","Total","27.1",""
"Less than once a month","Sweden","Percentage","Total","2014","Total","Total","15.3",""
"Never or not in the last 12 months","Sweden","Percentage","Total","2014","Total","Total","17.9",""
"Every day","United Kingdom","Percentage","Total","2014","Total","Total","7.5",""
"Every week","United Kingdom","Percentage","Total","2014","Total","Total","45.0",""
"Every month","United Kingdom","Percentage","Total","2014","Total","Total","16.5",""
"Less than once a month","United Kingdom","Percentage","Total","2014","Total","Total","14.5",""
"Never or not in the last 12 months","United Kingdom","Percentage","Total","2014","Total","Total","16.4",""
"Every day","Iceland","Percentage","Total","2014","Total","Total","0.6",""
"Every week","Iceland","Percentage","Total","2014","Total","Total","19.5",""
"Every month","Iceland","Percentage","Total","2014","Total","Total","39.2",""
"Less than once a month","Iceland","Percentage","Total","2014","Total","Total","21.6",""
"Never or not in the last 12 months","Iceland","Percentage","Total","2014","Total","Total","19.0",""
"Every day","Norway","Percentage","Total","2014","Total","Total","2.1",""
"Every week","Norway","Percentage","Total","2014","Total","Total","29.8",""
"Every month","Norway","Percentage","Total","2014","Total","Total","49.3",""
"Less than once a month","Norway","Percentage","Total","2014","Total","Total","0",""
"Never or not in the last 12 months","Norway","Percentage","Total","2014","Total","Total","18.8",""
"Every day","Turkey","Percentage","Total","2014","Total","Total","0.5",""
"Every week","Turkey","Percentage","Total","2014","Total","Total","2.8",""
"Every month","Turkey","Percentage","Total","2014","Total","Total","5.1",""
"Less than once a month","Turkey","Percentage","Total","2014","Total","Total","6.6",""
"Never or not in the last 12 months","Turkey","Percentage","Total","2014","Total","Total","85.1",""
