"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"From 150 to 299 minutes","Spain","Percentage","Fifth quintile","2014","Total","Total","17.3",""
"300 minutes or over","Spain","Percentage","Fifth quintile","2014","Total","Total","25.2",""
"Zero minutes","France","Percentage","Fifth quintile","2014","Total","Total","34.2",""
"From 1 to 149 minutes","France","Percentage","Fifth quintile","2014","Total","Total","33.6",""
"From 150 to 299 minutes","France","Percentage","Fifth quintile","2014","Total","Total","18.0",""
"300 minutes or over","France","Percentage","Fifth quintile","2014","Total","Total","14.2",""
"Zero minutes","Croatia","Percentage","Fifth quintile","2014","Total","Total","50.6",""
"From 1 to 149 minutes","Croatia","Percentage","Fifth quintile","2014","Total","Total","22.3",""
"From 150 to 299 minutes","Croatia","Percentage","Fifth quintile","2014","Total","Total","13.2",""
"300 minutes or over","Croatia","Percentage","Fifth quintile","2014","Total","Total","13.9",""
"Zero minutes","Italy","Percentage","Fifth quintile","2014","Total","Total","57.0",""
"From 1 to 149 minutes","Italy","Percentage","Fifth quintile","2014","Total","Total","19.6",""
"From 150 to 299 minutes","Italy","Percentage","Fifth quintile","2014","Total","Total","13.1",""
"300 minutes or over","Italy","Percentage","Fifth quintile","2014","Total","Total","10.3",""
"Zero minutes","Cyprus","Percentage","Fifth quintile","2014","Total","Total","47.8",""
"From 1 to 149 minutes","Cyprus","Percentage","Fifth quintile","2014","Total","Total","19.1",""
"From 150 to 299 minutes","Cyprus","Percentage","Fifth quintile","2014","Total","Total","20.7",""
"300 minutes or over","Cyprus","Percentage","Fifth quintile","2014","Total","Total","12.4",""
"Zero minutes","Latvia","Percentage","Fifth quintile","2014","Total","Total","38.3",""
"From 1 to 149 minutes","Latvia","Percentage","Fifth quintile","2014","Total","Total","29.2",""
"From 150 to 299 minutes","Latvia","Percentage","Fifth quintile","2014","Total","Total","17.2",""
"300 minutes or over","Latvia","Percentage","Fifth quintile","2014","Total","Total","15.2",""
"Zero minutes","Lithuania","Percentage","Fifth quintile","2014","Total","Total","57.7",""
"From 1 to 149 minutes","Lithuania","Percentage","Fifth quintile","2014","Total","Total","15.2",""
"From 150 to 299 minutes","Lithuania","Percentage","Fifth quintile","2014","Total","Total","15.5",""
"300 minutes or over","Lithuania","Percentage","Fifth quintile","2014","Total","Total","11.7",""
"Zero minutes","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","21.1",""
"From 1 to 149 minutes","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","25.6",""
"From 150 to 299 minutes","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","30.5",""
"300 minutes or over","Luxembourg","Percentage","Fifth quintile","2014","Total","Total","22.9",""
"Zero minutes","Hungary","Percentage","Fifth quintile","2014","Total","Total","32.4",""
"From 1 to 149 minutes","Hungary","Percentage","Fifth quintile","2014","Total","Total","31.1",""
"From 150 to 299 minutes","Hungary","Percentage","Fifth quintile","2014","Total","Total","16.8",""
"300 minutes or over","Hungary","Percentage","Fifth quintile","2014","Total","Total","19.6",""
"Zero minutes","Malta","Percentage","Fifth quintile","2014","Total","Total","38.8",""
"From 1 to 149 minutes","Malta","Percentage","Fifth quintile","2014","Total","Total","22.6",""
"From 150 to 299 minutes","Malta","Percentage","Fifth quintile","2014","Total","Total","14.8",""
"300 minutes or over","Malta","Percentage","Fifth quintile","2014","Total","Total","23.8",""
"Zero minutes","Austria","Percentage","Fifth quintile","2014","Total","Total","17.7",""
"From 1 to 149 minutes","Austria","Percentage","Fifth quintile","2014","Total","Total","24.3",""
"From 150 to 299 minutes","Austria","Percentage","Fifth quintile","2014","Total","Total","22.5",""
"300 minutes or over","Austria","Percentage","Fifth quintile","2014","Total","Total","35.6",""
"Zero minutes","Poland","Percentage","Fifth quintile","2014","Total","Total","54.7",""
"From 1 to 149 minutes","Poland","Percentage","Fifth quintile","2014","Total","Total","23.5",""
"From 150 to 299 minutes","Poland","Percentage","Fifth quintile","2014","Total","Total","12.2",""
"300 minutes or over","Poland","Percentage","Fifth quintile","2014","Total","Total","9.7",""
"Zero minutes","Portugal","Percentage","Fifth quintile","2014","Total","Total","51.1",""
"From 1 to 149 minutes","Portugal","Percentage","Fifth quintile","2014","Total","Total","22.2",""
"From 150 to 299 minutes","Portugal","Percentage","Fifth quintile","2014","Total","Total","13.3",""
"300 minutes or over","Portugal","Percentage","Fifth quintile","2014","Total","Total","13.4",""
"Zero minutes","Romania","Percentage","Fifth quintile","2014","Total","Total","86.6",""
"From 1 to 149 minutes","Romania","Percentage","Fifth quintile","2014","Total","Total","5.4",""
"From 150 to 299 minutes","Romania","Percentage","Fifth quintile","2014","Total","Total","4.8",""
"300 minutes or over","Romania","Percentage","Fifth quintile","2014","Total","Total","3.2",""
"Zero minutes","Slovenia","Percentage","Fifth quintile","2014","Total","Total","20.1",""
"From 1 to 149 minutes","Slovenia","Percentage","Fifth quintile","2014","Total","Total","24.5",""
"From 150 to 299 minutes","Slovenia","Percentage","Fifth quintile","2014","Total","Total","21.8",""
"300 minutes or over","Slovenia","Percentage","Fifth quintile","2014","Total","Total","33.5",""
"Zero minutes","Slovakia","Percentage","Fifth quintile","2014","Total","Total","38.8",""
"From 1 to 149 minutes","Slovakia","Percentage","Fifth quintile","2014","Total","Total","21.8",""
"From 150 to 299 minutes","Slovakia","Percentage","Fifth quintile","2014","Total","Total","19.0",""
"300 minutes or over","Slovakia","Percentage","Fifth quintile","2014","Total","Total","20.3",""
"Zero minutes","Finland","Percentage","Fifth quintile","2014","Total","Total","17.4",""
"From 1 to 149 minutes","Finland","Percentage","Fifth quintile","2014","Total","Total","20.2",""
"From 150 to 299 minutes","Finland","Percentage","Fifth quintile","2014","Total","Total","30.6",""
"300 minutes or over","Finland","Percentage","Fifth quintile","2014","Total","Total","31.9",""
"Zero minutes","Sweden","Percentage","Fifth quintile","2014","Total","Total","20.6",""
"From 1 to 149 minutes","Sweden","Percentage","Fifth quintile","2014","Total","Total","22.3",""
"From 150 to 299 minutes","Sweden","Percentage","Fifth quintile","2014","Total","Total","27.7",""
"300 minutes or over","Sweden","Percentage","Fifth quintile","2014","Total","Total","29.4",""
"Zero minutes","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","25.6",""
"From 1 to 149 minutes","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","25.1",""
"From 150 to 299 minutes","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","21.1",""
"300 minutes or over","United Kingdom","Percentage","Fifth quintile","2014","Total","Total","28.3",""
"Zero minutes","Iceland","Percentage","Fifth quintile","2014","Total","Total","21.1",""
"From 1 to 149 minutes","Iceland","Percentage","Fifth quintile","2014","Total","Total","9.8",""
"From 150 to 299 minutes","Iceland","Percentage","Fifth quintile","2014","Total","Total","34.7",""
"300 minutes or over","Iceland","Percentage","Fifth quintile","2014","Total","Total","34.4",""
"Zero minutes","Norway","Percentage","Fifth quintile","2014","Total","Total","18.0",""
"From 1 to 149 minutes","Norway","Percentage","Fifth quintile","2014","Total","Total","16.2",""
"From 150 to 299 minutes","Norway","Percentage","Fifth quintile","2014","Total","Total","24.1",""
"300 minutes or over","Norway","Percentage","Fifth quintile","2014","Total","Total","41.8",""
"Zero minutes","Turkey","Percentage","Fifth quintile","2014","Total","Total","82.0",""
"From 1 to 149 minutes","Turkey","Percentage","Fifth quintile","2014","Total","Total","9.9",""
"From 150 to 299 minutes","Turkey","Percentage","Fifth quintile","2014","Total","Total","4.1",""
"300 minutes or over","Turkey","Percentage","Fifth quintile","2014","Total","Total","4.0",""
