"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"5 portions or more","Spain","Percentage","2014","First quintile","Total","Total","8.2",""
"0 portions","France","Percentage","2014","First quintile","Total","Total","42.9",""
"From 1 to 4 portions","France","Percentage","2014","First quintile","Total","Total","45.2",""
"5 portions or more","France","Percentage","2014","First quintile","Total","Total","11.8",""
"0 portions","Croatia","Percentage","2014","First quintile","Total","Total","32.8",""
"From 1 to 4 portions","Croatia","Percentage","2014","First quintile","Total","Total","60.2",""
"5 portions or more","Croatia","Percentage","2014","First quintile","Total","Total","7.0",""
"0 portions","Italy","Percentage","2014","First quintile","Total","Total","30.5",""
"From 1 to 4 portions","Italy","Percentage","2014","First quintile","Total","Total","61.1",""
"5 portions or more","Italy","Percentage","2014","First quintile","Total","Total","8.4",""
"0 portions","Cyprus","Percentage","2014","First quintile","Total","Total","41.4",""
"From 1 to 4 portions","Cyprus","Percentage","2014","First quintile","Total","Total","48.5",""
"5 portions or more","Cyprus","Percentage","2014","First quintile","Total","Total","10.1",""
"0 portions","Latvia","Percentage","2014","First quintile","Total","Total","54.8",""
"From 1 to 4 portions","Latvia","Percentage","2014","First quintile","Total","Total","36.3",""
"5 portions or more","Latvia","Percentage","2014","First quintile","Total","Total","9.0",""
"0 portions","Lithuania","Percentage","2014","First quintile","Total","Total","42.8",""
"From 1 to 4 portions","Lithuania","Percentage","2014","First quintile","Total","Total","43.9",""
"5 portions or more","Lithuania","Percentage","2014","First quintile","Total","Total","13.3",""
"0 portions","Luxembourg","Percentage","2014","First quintile","Total","Total","36.9",""
"From 1 to 4 portions","Luxembourg","Percentage","2014","First quintile","Total","Total","48.5",""
"5 portions or more","Luxembourg","Percentage","2014","First quintile","Total","Total","14.6",""
"0 portions","Hungary","Percentage","2014","First quintile","Total","Total","42.7",""
"From 1 to 4 portions","Hungary","Percentage","2014","First quintile","Total","Total","49.7",""
"5 portions or more","Hungary","Percentage","2014","First quintile","Total","Total","7.7",""
"0 portions","Malta","Percentage","2014","First quintile","Total","Total","33.6",""
"From 1 to 4 portions","Malta","Percentage","2014","First quintile","Total","Total","49.4",""
"5 portions or more","Malta","Percentage","2014","First quintile","Total","Total","17.0",""
"0 portions","Netherlands","Percentage","2014","First quintile","Total","Total","46.6",""
"From 1 to 4 portions","Netherlands","Percentage","2014","First quintile","Total","Total","28.6",""
"5 portions or more","Netherlands","Percentage","2014","First quintile","Total","Total","24.8",""
"0 portions","Austria","Percentage","2014","First quintile","Total","Total","32.3",""
"From 1 to 4 portions","Austria","Percentage","2014","First quintile","Total","Total","60.1",""
"5 portions or more","Austria","Percentage","2014","First quintile","Total","Total","7.6",""
"0 portions","Poland","Percentage","2014","First quintile","Total","Total","41.9",""
"From 1 to 4 portions","Poland","Percentage","2014","First quintile","Total","Total","49.9",""
"5 portions or more","Poland","Percentage","2014","First quintile","Total","Total","8.2",""
"0 portions","Portugal","Percentage","2014","First quintile","Total","Total","27.7",""
"From 1 to 4 portions","Portugal","Percentage","2014","First quintile","Total","Total","58.5",""
"5 portions or more","Portugal","Percentage","2014","First quintile","Total","Total","13.7",""
"0 portions","Romania","Percentage","2014","First quintile","Total","Total","77.9",""
"From 1 to 4 portions","Romania","Percentage","2014","First quintile","Total","Total","19.4",""
"5 portions or more","Romania","Percentage","2014","First quintile","Total","Total","2.7",""
"0 portions","Slovenia","Percentage","2014","First quintile","Total","Total","25.5",""
"From 1 to 4 portions","Slovenia","Percentage","2014","First quintile","Total","Total","65.9",""
"5 portions or more","Slovenia","Percentage","2014","First quintile","Total","Total","8.7",""
"0 portions","Slovakia","Percentage","2014","First quintile","Total","Total","51.9",""
"From 1 to 4 portions","Slovakia","Percentage","2014","First quintile","Total","Total","39.1",""
"5 portions or more","Slovakia","Percentage","2014","First quintile","Total","Total","9.0",""
"0 portions","Finland","Percentage","2014","First quintile","Total","Total","48.8",""
"From 1 to 4 portions","Finland","Percentage","2014","First quintile","Total","Total","39.8",""
"5 portions or more","Finland","Percentage","2014","First quintile","Total","Total","11.4",""
"0 portions","Sweden","Percentage","2014","First quintile","Total","Total","40.2",""
"From 1 to 4 portions","Sweden","Percentage","2014","First quintile","Total","Total","49.4",""
"5 portions or more","Sweden","Percentage","2014","First quintile","Total","Total","10.4",""
"0 portions","United Kingdom","Percentage","2014","First quintile","Total","Total","29.4",""
"From 1 to 4 portions","United Kingdom","Percentage","2014","First quintile","Total","Total","46.0",""
"5 portions or more","United Kingdom","Percentage","2014","First quintile","Total","Total","24.6",""
"0 portions","Iceland","Percentage","2014","First quintile","Total","Total","40.1",""
"From 1 to 4 portions","Iceland","Percentage","2014","First quintile","Total","Total","51.4",""
"5 portions or more","Iceland","Percentage","2014","First quintile","Total","Total","8.5",""
"0 portions","Norway","Percentage","2014","First quintile","Total","Total","37.9",""
"From 1 to 4 portions","Norway","Percentage","2014","First quintile","Total","Total","56.8",""
"5 portions or more","Norway","Percentage","2014","First quintile","Total","Total","5.4",""
"0 portions","Turkey","Percentage","2014","First quintile","Total","Total","42.1",""
"From 1 to 4 portions","Turkey","Percentage","2014","First quintile","Total","Total","55.4",""
"5 portions or more","Turkey","Percentage","2014","First quintile","Total","Total","2.5",""
