"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"5 portions or more","Spain","Percentage","2014","Third quintile","Total","Total","12.4",""
"0 portions","France","Percentage","2014","Third quintile","Total","Total","35.5",""
"From 1 to 4 portions","France","Percentage","2014","Third quintile","Total","Total","49.2",""
"5 portions or more","France","Percentage","2014","Third quintile","Total","Total","15.4",""
"0 portions","Croatia","Percentage","2014","Third quintile","Total","Total","28.2",""
"From 1 to 4 portions","Croatia","Percentage","2014","Third quintile","Total","Total","65.7",""
"5 portions or more","Croatia","Percentage","2014","Third quintile","Total","Total","6.0",""
"0 portions","Italy","Percentage","2014","Third quintile","Total","Total","20.8",""
"From 1 to 4 portions","Italy","Percentage","2014","Third quintile","Total","Total","67.2",""
"5 portions or more","Italy","Percentage","2014","Third quintile","Total","Total","11.9",""
"0 portions","Cyprus","Percentage","2014","Third quintile","Total","Total","32.3",""
"From 1 to 4 portions","Cyprus","Percentage","2014","Third quintile","Total","Total","48.7",""
"5 portions or more","Cyprus","Percentage","2014","Third quintile","Total","Total","19.0",""
"0 portions","Latvia","Percentage","2014","Third quintile","Total","Total","45.8",""
"From 1 to 4 portions","Latvia","Percentage","2014","Third quintile","Total","Total","43.5",""
"5 portions or more","Latvia","Percentage","2014","Third quintile","Total","Total","10.6",""
"0 portions","Lithuania","Percentage","2014","Third quintile","Total","Total","44.8",""
"From 1 to 4 portions","Lithuania","Percentage","2014","Third quintile","Total","Total","40.6",""
"5 portions or more","Lithuania","Percentage","2014","Third quintile","Total","Total","14.5",""
"0 portions","Luxembourg","Percentage","2014","Third quintile","Total","Total","33.9",""
"From 1 to 4 portions","Luxembourg","Percentage","2014","Third quintile","Total","Total","47.6",""
"5 portions or more","Luxembourg","Percentage","2014","Third quintile","Total","Total","18.5",""
"0 portions","Hungary","Percentage","2014","Third quintile","Total","Total","30.6",""
"From 1 to 4 portions","Hungary","Percentage","2014","Third quintile","Total","Total","58.9",""
"5 portions or more","Hungary","Percentage","2014","Third quintile","Total","Total","10.5",""
"0 portions","Malta","Percentage","2014","Third quintile","Total","Total","39.4",""
"From 1 to 4 portions","Malta","Percentage","2014","Third quintile","Total","Total","43.7",""
"5 portions or more","Malta","Percentage","2014","Third quintile","Total","Total","16.8",""
"0 portions","Netherlands","Percentage","2014","Third quintile","Total","Total","50.3",""
"From 1 to 4 portions","Netherlands","Percentage","2014","Third quintile","Total","Total","26.9",""
"5 portions or more","Netherlands","Percentage","2014","Third quintile","Total","Total","22.8",""
"0 portions","Austria","Percentage","2014","Third quintile","Total","Total","31.8",""
"From 1 to 4 portions","Austria","Percentage","2014","Third quintile","Total","Total","61.1",""
"5 portions or more","Austria","Percentage","2014","Third quintile","Total","Total","7.1",""
"0 portions","Poland","Percentage","2014","Third quintile","Total","Total","33.1",""
"From 1 to 4 portions","Poland","Percentage","2014","Third quintile","Total","Total","56.6",""
"5 portions or more","Poland","Percentage","2014","Third quintile","Total","Total","10.3",""
"0 portions","Portugal","Percentage","2014","Third quintile","Total","Total","19.9",""
"From 1 to 4 portions","Portugal","Percentage","2014","Third quintile","Total","Total","62.3",""
"5 portions or more","Portugal","Percentage","2014","Third quintile","Total","Total","17.8",""
"0 portions","Romania","Percentage","2014","Third quintile","Total","Total","63.7",""
"From 1 to 4 portions","Romania","Percentage","2014","Third quintile","Total","Total","32.6",""
"5 portions or more","Romania","Percentage","2014","Third quintile","Total","Total","3.6",""
"0 portions","Slovenia","Percentage","2014","Third quintile","Total","Total","29.4",""
"From 1 to 4 portions","Slovenia","Percentage","2014","Third quintile","Total","Total","63.9",""
"5 portions or more","Slovenia","Percentage","2014","Third quintile","Total","Total","6.8",""
"0 portions","Slovakia","Percentage","2014","Third quintile","Total","Total","46.3",""
"From 1 to 4 portions","Slovakia","Percentage","2014","Third quintile","Total","Total","43.5",""
"5 portions or more","Slovakia","Percentage","2014","Third quintile","Total","Total","10.2",""
"0 portions","Finland","Percentage","2014","Third quintile","Total","Total","42.5",""
"From 1 to 4 portions","Finland","Percentage","2014","Third quintile","Total","Total","43.9",""
"5 portions or more","Finland","Percentage","2014","Third quintile","Total","Total","13.5",""
"0 portions","Sweden","Percentage","2014","Third quintile","Total","Total","34.9",""
"From 1 to 4 portions","Sweden","Percentage","2014","Third quintile","Total","Total","55.8",""
"5 portions or more","Sweden","Percentage","2014","Third quintile","Total","Total","9.4",""
"0 portions","United Kingdom","Percentage","2014","Third quintile","Total","Total","19.6",""
"From 1 to 4 portions","United Kingdom","Percentage","2014","Third quintile","Total","Total","46.5",""
"5 portions or more","United Kingdom","Percentage","2014","Third quintile","Total","Total","33.9",""
"0 portions","Iceland","Percentage","2014","Third quintile","Total","Total","32.6",""
"From 1 to 4 portions","Iceland","Percentage","2014","Third quintile","Total","Total","58.0",""
"5 portions or more","Iceland","Percentage","2014","Third quintile","Total","Total","9.4",""
"0 portions","Norway","Percentage","2014","Third quintile","Total","Total","29.0",""
"From 1 to 4 portions","Norway","Percentage","2014","Third quintile","Total","Total","66.0",""
"5 portions or more","Norway","Percentage","2014","Third quintile","Total","Total","4.9",""
"0 portions","Turkey","Percentage","2014","Third quintile","Total","Total","30.3",""
"From 1 to 4 portions","Turkey","Percentage","2014","Third quintile","Total","Total","66.1",""
"5 portions or more","Turkey","Percentage","2014","Third quintile","Total","Total","3.6",""
