"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"5 portions or more","France","Percentage","2014","Fourth quintile","Total","Total","15.5",""
"0 portions","Croatia","Percentage","2014","Fourth quintile","Total","Total","31.4",""
"From 1 to 4 portions","Croatia","Percentage","2014","Fourth quintile","Total","Total","61.0",""
"5 portions or more","Croatia","Percentage","2014","Fourth quintile","Total","Total","7.6",""
"0 portions","Italy","Percentage","2014","Fourth quintile","Total","Total","20.6",""
"From 1 to 4 portions","Italy","Percentage","2014","Fourth quintile","Total","Total","66.6",""
"5 portions or more","Italy","Percentage","2014","Fourth quintile","Total","Total","12.7",""
"0 portions","Cyprus","Percentage","2014","Fourth quintile","Total","Total","30.1",""
"From 1 to 4 portions","Cyprus","Percentage","2014","Fourth quintile","Total","Total","52.6",""
"5 portions or more","Cyprus","Percentage","2014","Fourth quintile","Total","Total","17.3",""
"0 portions","Latvia","Percentage","2014","Fourth quintile","Total","Total","44.6",""
"From 1 to 4 portions","Latvia","Percentage","2014","Fourth quintile","Total","Total","42.4",""
"5 portions or more","Latvia","Percentage","2014","Fourth quintile","Total","Total","13.0",""
"0 portions","Lithuania","Percentage","2014","Fourth quintile","Total","Total","39.3",""
"From 1 to 4 portions","Lithuania","Percentage","2014","Fourth quintile","Total","Total","45.0",""
"5 portions or more","Lithuania","Percentage","2014","Fourth quintile","Total","Total","15.7",""
"0 portions","Luxembourg","Percentage","2014","Fourth quintile","Total","Total","33.7",""
"From 1 to 4 portions","Luxembourg","Percentage","2014","Fourth quintile","Total","Total","50.4",""
"5 portions or more","Luxembourg","Percentage","2014","Fourth quintile","Total","Total","15.8",""
"0 portions","Hungary","Percentage","2014","Fourth quintile","Total","Total","29.8",""
"From 1 to 4 portions","Hungary","Percentage","2014","Fourth quintile","Total","Total","60.7",""
"5 portions or more","Hungary","Percentage","2014","Fourth quintile","Total","Total","9.5",""
"0 portions","Malta","Percentage","2014","Fourth quintile","Total","Total","34.0",""
"From 1 to 4 portions","Malta","Percentage","2014","Fourth quintile","Total","Total","49.1",""
"5 portions or more","Malta","Percentage","2014","Fourth quintile","Total","Total","16.9",""
"0 portions","Netherlands","Percentage","2014","Fourth quintile","Total","Total","46.9",""
"From 1 to 4 portions","Netherlands","Percentage","2014","Fourth quintile","Total","Total","28.7",""
"5 portions or more","Netherlands","Percentage","2014","Fourth quintile","Total","Total","24.4",""
"0 portions","Austria","Percentage","2014","Fourth quintile","Total","Total","30.9",""
"From 1 to 4 portions","Austria","Percentage","2014","Fourth quintile","Total","Total","62.3",""
"5 portions or more","Austria","Percentage","2014","Fourth quintile","Total","Total","6.8",""
"0 portions","Poland","Percentage","2014","Fourth quintile","Total","Total","31.0",""
"From 1 to 4 portions","Poland","Percentage","2014","Fourth quintile","Total","Total","58.4",""
"5 portions or more","Poland","Percentage","2014","Fourth quintile","Total","Total","10.6",""
"0 portions","Portugal","Percentage","2014","Fourth quintile","Total","Total","18.2",""
"From 1 to 4 portions","Portugal","Percentage","2014","Fourth quintile","Total","Total","62.8",""
"5 portions or more","Portugal","Percentage","2014","Fourth quintile","Total","Total","19.0",""
"0 portions","Romania","Percentage","2014","Fourth quintile","Total","Total","61.8",""
"From 1 to 4 portions","Romania","Percentage","2014","Fourth quintile","Total","Total","34.5",""
"5 portions or more","Romania","Percentage","2014","Fourth quintile","Total","Total","3.8",""
"0 portions","Slovenia","Percentage","2014","Fourth quintile","Total","Total","29.6",""
"From 1 to 4 portions","Slovenia","Percentage","2014","Fourth quintile","Total","Total","61.9",""
"5 portions or more","Slovenia","Percentage","2014","Fourth quintile","Total","Total","8.5",""
"0 portions","Slovakia","Percentage","2014","Fourth quintile","Total","Total","45.0",""
"From 1 to 4 portions","Slovakia","Percentage","2014","Fourth quintile","Total","Total","43.3",""
"5 portions or more","Slovakia","Percentage","2014","Fourth quintile","Total","Total","11.7",""
"0 portions","Finland","Percentage","2014","Fourth quintile","Total","Total","40.0",""
"From 1 to 4 portions","Finland","Percentage","2014","Fourth quintile","Total","Total","47.0",""
"5 portions or more","Finland","Percentage","2014","Fourth quintile","Total","Total","13.1",""
"0 portions","Sweden","Percentage","2014","Fourth quintile","Total","Total","38.0",""
"From 1 to 4 portions","Sweden","Percentage","2014","Fourth quintile","Total","Total","54.0",""
"5 portions or more","Sweden","Percentage","2014","Fourth quintile","Total","Total","8.0",""
"0 portions","United Kingdom","Percentage","2014","Fourth quintile","Total","Total","18.7",""
"From 1 to 4 portions","United Kingdom","Percentage","2014","Fourth quintile","Total","Total","45.4",""
"5 portions or more","United Kingdom","Percentage","2014","Fourth quintile","Total","Total","36.0",""
"0 portions","Iceland","Percentage","2014","Fourth quintile","Total","Total","33.4",""
"From 1 to 4 portions","Iceland","Percentage","2014","Fourth quintile","Total","Total","55.3",""
"5 portions or more","Iceland","Percentage","2014","Fourth quintile","Total","Total","11.3",""
"0 portions","Norway","Percentage","2014","Fourth quintile","Total","Total","28.7",""
"From 1 to 4 portions","Norway","Percentage","2014","Fourth quintile","Total","Total","63.7",""
"5 portions or more","Norway","Percentage","2014","Fourth quintile","Total","Total","7.6",""
"0 portions","Turkey","Percentage","2014","Fourth quintile","Total","Total","30.2",""
"From 1 to 4 portions","Turkey","Percentage","2014","Fourth quintile","Total","Total","66.6",""
"5 portions or more","Turkey","Percentage","2014","Fourth quintile","Total","Total","3.3",""
