"TIME","GEO","ICCS","UNIT","Value","Flag and Footnotes"
"2008","Northern Ireland (UK)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","34.29",""
"2008","Iceland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","463.13",""
"2008","Liechtenstein","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","593.96",""
"2008","Norway","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","762.84",""
"2008","Switzerland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","626.72",""
"2008","Montenegro","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","74.73",""
"2008","North Macedonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","20.29",""
"2008","Albania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","20.60",""
"2008","Serbia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","82.13",""
"2008","Turkey","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2008","Bosnia and Herzegovina","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","39.52",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","14.58",""
"2009","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","139.12",""
"2009","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","49.04",""
"2009","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","29.22",""
"2009","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","347.60",""
"2009","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","287.60",""
"2009","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","317.50",""
"2009","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","483.75",""
"2009","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","113.93",""
"2009","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","31.02",""
"2009","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","9.33",""
"2009","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","163.88",""
"2009","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","57.80",""
"2009","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","88.59",""
"2009","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","106.67",""
"2009","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","68.75",""
"2009","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","452.28",""
"2009","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","45.03",""
"2009","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","45.51",""
"2009","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","112.70",""
"2009","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","25.18",""
"2009","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","179.06",""
"2009","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","40.40",""
"2009","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","15.79",""
"2009","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","103.13",""
"2009","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","11.39",""
"2009","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","347.78",""
"2009","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","885.96",""
"2009","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","60.36",""
"2009","Scotland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","189.79",""
"2009","Northern Ireland (UK)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","35.33",""
"2009","Iceland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","403.92",""
"2009","Liechtenstein","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,003.12",""
"2009","Norway","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","786.70",""
"2009","Switzerland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,113.26",""
"2009","Montenegro","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","64.49",""
"2009","North Macedonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","26.90",""
"2009","Albania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","20.32",""
"2009","Serbia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","74.98",""
"2009","Turkey","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2009","Bosnia and Herzegovina","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1.35",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","16.69",""
"2010","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","136.07",""
"2010","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","50.73",""
"2010","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","28.77",""
"2010","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","353.89",""
"2010","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","282.39",""
"2010","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","223.28",""
"2010","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","435.06",""
"2010","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","93.99",""
"2010","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","30.96",""
"2010","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","9.08",""
"2010","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","180.90",""
"2010","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","55.35",""
"2010","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","103.89",""
"2010","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","103.23",""
"2010","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","70.47",""
"2010","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","512.68",""
"2010","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","57.81",""
"2010","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","43.72",""
"2010","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","100.84",""
"2010","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","25.95",""
"2010","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","190.34",""
"2010","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","43.08",""
"2010","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","17.95",""
"2010","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","85.79",""
"2010","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","11.58",""
"2010","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","368.57",""
"2010","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","964.27",""
"2010","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","58.30",""
"2010","Scotland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","136.05",""
"2010","Northern Ireland (UK)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","41.24",""
"2010","Iceland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","472.25",""
"2010","Liechtenstein","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,479.36",""
"2010","Norway","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","905.99",""
"2010","Switzerland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,145.32",""
"2010","Montenegro","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","49.60",""
"2010","North Macedonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","28.16",""
"2010","Albania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2010","Serbia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","76.27",""
"2010","Turkey","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2010","Bosnia and Herzegovina","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","0.99",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","21.83",""
"2011","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","125.67",""
"2011","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","38.80",""
"2011","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","34.66",""
"2011","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","414.95",""
"2011","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","294.77",""
"2011","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","287.36",""
"2011","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","384.43",""
"2011","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","87.98",""
"2011","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","32.61",""
"2011","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","9.12",""
"2011","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","181.05",""
"2011","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","57.33",""
"2011","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","111.46",""
"2011","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","94.81",""
"2011","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","73.90",""
"2011","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","574.59",""
"2011","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","59.98",""
"2011","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","42.89",""
"2011","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","95.37",""
"2011","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","27.70",""
"2011","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","195.82",""
"2011","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","39.86",""
"2011","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","16.14",""
"2011","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","73.41",""
"2011","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","14.13",""
"2011","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","379.40",""
"2011","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","977.07",""
"2011","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","55.99",""
"2011","Scotland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","126.58",""
"2011","Northern Ireland (UK)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","44.54",""
"2011","Iceland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","544.20",""
"2011","Liechtenstein","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,200.59",""
"2011","Norway","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","838.78",""
"2011","Switzerland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,158.95",""
"2011","Montenegro","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","50.98",""
"2011","North Macedonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","28.63",""
"2011","Albania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","26.13",""
"2011","Serbia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","68.14",""
"2011","Turkey","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2011","Bosnia and Herzegovina","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1.41",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","29.82",""
"2012","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","102.16",""
"2012","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","40.40",""
"2012","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","36.30",""
"2012","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","414.67",""
"2012","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","295.22",""
"2012","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","348.32",""
"2012","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","357.45",""
"2012","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","91.50",""
"2012","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","30.99",""
"2012","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","9.04",""
"2012","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","170.60",""
"2012","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","57.00",""
"2012","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","119.49",""
"2012","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","134.49",""
"2012","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","100.08",""
"2012","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","492.14",""
"2012","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","52.49",""
"2012","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","48.62",""
"2012","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","96.50",""
"2012","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","23.67",""
"2012","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","200.60",""
"2012","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","43.99",""
"2012","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","14.29",""
"2012","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","85.62",""
"2012","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","14.04",""
"2012","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","372.17",""
"2012","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,026.89",""
"2012","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","52.77",""
"2012","Scotland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","102.35",""
"2012","Northern Ireland (UK)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","50.14",""
"2012","Iceland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","586.40",""
"2012","Liechtenstein","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","704.59",""
"2012","Norway","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","885.46",""
"2012","Switzerland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,167.39",""
"2012","Montenegro","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","30.15",""
"2012","North Macedonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","28.84",""
"2012","Albania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2012","Serbia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","66.15",""
"2012","Turkey","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2012","Bosnia and Herzegovina","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1.12",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2013","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","102.31",""
"2013","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","41.90",""
"2013","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","48.66",""
"2013","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","460.18",""
"2013","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","314.85",""
"2013","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","351.32",""
"2013","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","333.82",""
"2013","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","95.18",""
"2013","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","30.59",""
"2013","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","9.84",""
"2013","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","62.95",""
"2013","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","56.26",""
"2013","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","115.03",""
"2013","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","80.89",""
"2013","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","79.21",""
"2013","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","599.96",""
"2013","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","54.58",""
"2013","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","49.36",""
"2013","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","95.86",""
"2013","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","322.19",""
"2013","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","189.00",""
"2013","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","44.34",""
"2013","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","12.28",""
"2013","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","83.15",""
"2013","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","35.67",""
"2013","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","417.49",""
"2013","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,037.84",""
"2013","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","51.71",""
"2013","Scotland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","668.07",""
"2013","Northern Ireland (UK)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","243.40",""
"2013","Iceland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","663.03",""
"2013","Liechtenstein","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,172.70",""
"2013","Norway","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","936.12",""
"2013","Switzerland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,210.20",""
"2013","Montenegro","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","27.70",""
"2013","North Macedonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2013","Albania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2013","Serbia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","78.65",""
"2013","Turkey","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2013","Bosnia and Herzegovina","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants",":",""
"2014","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","493.09",""
"2014","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","44.70",""
"2014","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","53.24",""
"2014","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","499.23",""
"2014","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","342.63",""
"2014","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","307.95",""
"2014","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","342.03",""
"2014","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","99.34",""
"2014","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","28.83",""
"2014","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","10.46",""
"2014","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","63.74",""
"2014","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","53.83",""
"2014","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","125.87",""
"2014","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","134.75",""
"2014","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","87.89",""
"2014","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","762.26",""
"2014","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","61.99",""
"2014","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","44.71",""
"2014","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","90.28",""
"2014","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","342.83",""
"2014","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","167.83",""
"2014","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","45.56",""
"2014","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","12.07",""
"2014","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","80.64",""
"2014","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","29.71",""
"2014","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","399.56",""
"2014","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","1,018.36",""
"2014","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","49.21",""
"2014","Scotland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","688.34",""
"2014","Northern Ireland (UK)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","269.42",""
"2014","Iceland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","721.59",""
